Protein	20161003_004_10188	20161003_006_686	20161003_007_534	20161003_009_10201	20161003_010_10132	20161003_012_10130	20161003_013_217	20161003_015_442	20161003_016_10206	20161003_019_10217	20161003_020_407	20161003_022_10204	20161003_023_397	20161003_025_523	20161003_026_10198	20161003_028_562	20170428_02_heartbiopsy_1	20170428_03_heartbiopsy_2	20170428_05_heartbiopsy_4	20170428_06_heartbiopsy_5	20170428_11_heartbiopsy_3
sp|Q07507|DERM_HUMAN	12.45744	11.70262	11.943497	11.223902	14.794196	14.605925	11.431428	13.733367	10.65102	12.38085	13.479545	13.448062	13.190749	12.094236	12.449855	11.253887	14.598614	15.078346	14.682445	14.901142	9.54056
sp|Q07666|KHDR1_HUMAN	10.440265	10.656904	10.61748	10.977411	11.188098	11.432716	11.034326	10.844483	10.81643	10.970989	11.03658	11.055194	10.979003	10.3625765	10.773199	11.575203	NaN	NaN	NaN	NaN	9.269735
sp|Q07866|KLC1_HUMAN : sp|Q9H0B6|KLC2_HUMAN	7.8144517	7.905435	8.111722	7.313186	7.7304473	7.7556095	6.516262	7.654435	6.375014	7.675081	7.7575855	6.3684273	7.0308943	7.5892067	7.045782	7.086956	NaN	NaN	NaN	NaN	7.655203
sp|Q07955|SRSF1_HUMAN	10.878617	10.726399	11.441835	8.702581	11.291077	11.500127	10.676528	11.437666	10.502161	11.049976	11.401349	10.753406	10.759595	10.729341	11.146768	10.733241	10.210841	NaN	2.587	2.563161	NaN
sp|Q07960|RHG01_HUMAN	12.570103	12.026629	12.32526	12.993995	11.892699	10.111288	12.276446	11.602739	11.720642	12.211866	12.851103	11.262321	10.589573	12.219663	11.584522	11.3757515	12.078167	13.88578	13.693257	12.694572	13.190942
sp|Q08043|ACTN3_HUMAN	15.385683	14.859311	13.684211	15.466126	11.603902	11.142193	11.122071	12.404719	15.430012	14.127193	11.985806	12.366739	11.190741	13.059484	14.664134	12.6745825	7.295308	6.3997493	6.0167475	NaN	9.309198
sp|Q08188|TGM3_HUMAN	9.280499	6.966215	9.70461	10.541437	10.484668	11.988791	9.877913	10.066775	10.312871	10.045353	9.413545	13.472242	9.389928	9.6306305	11.186447	11.382692	13.702168	14.528542	14.357401	14.587833	2.91668
sp|Q08211|DHX9_HUMAN	10.073567	11.114792	9.724526	10.76965	10.419657	10.8562355	9.174573	9.346477	10.381796	9.598501	9.535087	9.897907	8.425874	9.216253	10.01199	10.66053	NaN	NaN	5.8256526	NaN	NaN
sp|Q08257|QOR_HUMAN	13.670605	11.683284	13.560618	13.710755	13.954011	14.881267	14.316075	14.374464	13.117111	14.070587	13.145069	13.822119	13.107254	12.745186	13.726111	13.551843	13.484418	15.379306	14.343887	15.019316	14.008396
sp|Q08380|LG3BP_HUMAN	11.411484	12.346935	11.398642	12.578764	12.887708	13.186524	13.271134	12.024698	12.953342	12.927498	12.667767	12.372536	12.762183	11.552651	12.619742	13.3111725	9.203471	NaN	5.1947722	8.960954	7.3045845
