"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"P10301",NA,"turquoise",2,FALSE,TRUE
"P10515","brown","turquoise",3,FALSE,FALSE
"P10599","blue","yellow",3,TRUE,TRUE
"P10606","brown","blue",3,FALSE,TRUE
"P10644","brown","brown",3,TRUE,FALSE
"P10768","turquoise","green",3,FALSE,FALSE
"P10809","brown","blue",3,FALSE,TRUE
"P10909","turquoise","brown",3,FALSE,FALSE
"P10916","turquoise","blue",3,FALSE,TRUE
"P11021","blue","blue",3,FALSE,TRUE
"P11047","blue","blue",3,FALSE,FALSE
"P11055",NA,"yellow",2,FALSE,FALSE
"P11142","yellow","blue",3,FALSE,TRUE
"P11177","brown","brown",3,FALSE,TRUE
"P11182",NA,"blue",2,FALSE,FALSE
"P11216","turquoise","green",3,FALSE,TRUE
"P11217",NA,"green",2,FALSE,FALSE
"P11277","green","brown",3,FALSE,FALSE
"P11279","blue","turquoise",3,FALSE,TRUE
"P11310","brown","brown",3,FALSE,TRUE
"P11532","turquoise","brown",3,TRUE,FALSE
"P11586",NA,"yellow",2,FALSE,FALSE
"P11678",NA,"yellow",2,FALSE,TRUE
"P11766","blue","green",3,FALSE,FALSE
"P11940","turquoise","red",3,FALSE,FALSE
"P12109","blue","turquoise",3,FALSE,FALSE
"P12110",NA,"turquoise",2,FALSE,FALSE
"P12111","blue","blue",3,FALSE,FALSE
"P12235","brown","turquoise",3,FALSE,TRUE
"P12236","turquoise","turquoise",3,FALSE,TRUE
"P12259","brown",NA,1,FALSE,FALSE
"P12270",NA,"blue",2,FALSE,FALSE
"P12277","turquoise","blue",3,FALSE,FALSE
"P12429","brown","blue",3,FALSE,TRUE
"P12694",NA,"blue",2,FALSE,TRUE
"P12814","yellow","pink",3,FALSE,FALSE
"P12821",NA,"brown",2,TRUE,TRUE
"P12829","yellow","blue",3,FALSE,TRUE
"P12882",NA,"turquoise",2,FALSE,FALSE
"P12883","brown","blue",3,TRUE,FALSE
"P12956","turquoise","blue",3,TRUE,FALSE
"P13010","yellow","blue",3,FALSE,FALSE
"P13073","blue","blue",3,FALSE,FALSE
"P13489","yellow","green",3,FALSE,FALSE
"P13533","yellow","green",3,TRUE,TRUE
"P13535",NA,"blue",2,FALSE,FALSE
"P13569",NA,"red",2,FALSE,FALSE
"P13591","turquoise","brown",3,TRUE,TRUE
"P13611","blue","turquoise",3,FALSE,FALSE
"P13637",NA,"turquoise",2,TRUE,TRUE
"P13639","turquoise","yellow",3,FALSE,FALSE
"P13645","yellow","brown",3,FALSE,FALSE
"P13647","turquoise","brown",3,FALSE,FALSE
"P13667","blue","blue",3,FALSE,FALSE
"P13674",NA,"blue",2,FALSE,FALSE
"P13693","red","green",3,FALSE,FALSE
"P13716",NA,"yellow",2,FALSE,FALSE
"P13797","blue","turquoise",3,FALSE,FALSE
"P13798",NA,"brown",2,FALSE,FALSE
"P13804","brown","brown",3,FALSE,FALSE
"P13807","turquoise","turquoise",3,FALSE,TRUE
"P13861","brown","blue",3,FALSE,TRUE
"P13929","turquoise","blue",3,FALSE,FALSE
"P13987","blue","turquoise",3,FALSE,TRUE
"P14174","turquoise","green",3,FALSE,FALSE
"P14314","blue","blue",3,FALSE,TRUE
"P14324","red",NA,1,TRUE,FALSE
"P14406","brown","brown",3,FALSE,FALSE
"P14543","yellow","turquoise",3,FALSE,FALSE
"P14550",NA,"black",2,FALSE,FALSE
"P14618","yellow","yellow",3,FALSE,TRUE
"P14621",NA,"brown",2,FALSE,FALSE
"P14625","green","blue",3,FALSE,TRUE
"P14672",NA,"turquoise",2,TRUE,TRUE
"P14854","turquoise","blue",3,FALSE,TRUE
"P14866","green","blue",3,FALSE,TRUE
"P14868","turquoise","turquoise",3,FALSE,FALSE
"P14923","turquoise","blue",3,TRUE,FALSE
"P14927","blue","brown",3,FALSE,TRUE
"P15090",NA,"green",2,TRUE,FALSE
"P15121","turquoise","yellow",3,TRUE,FALSE
"P15259",NA,"brown",2,FALSE,FALSE
"P15289","red",NA,1,FALSE,FALSE
"P15311","yellow","blue",3,FALSE,TRUE
"P15502",NA,"turquoise",2,TRUE,FALSE
"P15531",NA,"yellow",2,FALSE,FALSE
"P15586","blue",NA,1,FALSE,FALSE
"P15880","blue","blue",3,FALSE,FALSE
"P15924","turquoise","yellow",3,TRUE,TRUE
"P15954",NA,"green",2,FALSE,FALSE
"P16070","blue",NA,1,TRUE,FALSE
"P16083",NA,"blue",2,FALSE,FALSE
"P16152",NA,"blue",2,FALSE,FALSE
"P16157",NA,"black",2,FALSE,FALSE
"P16219","blue","yellow",3,FALSE,FALSE
"P16278","red",NA,1,TRUE,FALSE
"P16401","turquoise","yellow",3,FALSE,FALSE
"P16403",NA,"yellow",2,FALSE,FALSE
"P16452",NA,"black",2,FALSE,FALSE
"P16520",NA,"blue",2,FALSE,FALSE
"P16615","brown","turquoise",3,TRUE,TRUE
"P16671",NA,"brown",2,TRUE,FALSE
"P16949","turquoise","brown",3,FALSE,FALSE
"P16989",NA,"blue",2,FALSE,FALSE
"P17152",NA,"yellow",2,FALSE,FALSE
"P17174","yellow","brown",3,FALSE,FALSE
"P17302",NA,"green",2,TRUE,FALSE
"P17540","turquoise","turquoise",3,FALSE,FALSE
"P17568",NA,"turquoise",2,FALSE,FALSE
"P17612",NA,"turquoise",2,FALSE,TRUE
"P17655","blue","green",3,FALSE,FALSE
"P17661",NA,"blue",2,TRUE,FALSE
"P17844","turquoise",NA,1,FALSE,FALSE
"P17858",NA,"turquoise",2,FALSE,FALSE
"P17931",NA,"brown",2,TRUE,TRUE
"P17980","turquoise","blue",3,FALSE,TRUE
"P17987","turquoise","yellow",3,FALSE,FALSE
"P18077","turquoise",NA,1,FALSE,FALSE
"P18124","turquoise","turquoise",3,FALSE,FALSE
"P18206","yellow","brown",3,TRUE,FALSE
"P18621","blue","green",3,FALSE,TRUE
"P18669","yellow","yellow",3,FALSE,FALSE
"P18859","turquoise","red",3,FALSE,TRUE
"P19012",NA,"yellow",2,FALSE,FALSE
"P19022",NA,"pink",2,FALSE,FALSE
"P19237","turquoise","blue",3,FALSE,FALSE
"P19338","yellow","brown",3,FALSE,TRUE
"P19367","brown","turquoise",3,FALSE,TRUE
"P19404","blue","brown",3,FALSE,FALSE
"P19429",NA,"brown",2,TRUE,TRUE
"P19652",NA,"yellow",2,FALSE,TRUE
"P19823","blue","blue",3,FALSE,FALSE
"P19827",NA,"pink",2,FALSE,FALSE
"P19971",NA,"red",2,FALSE,TRUE
"P20073","turquoise","blue",3,FALSE,FALSE
"P20618","blue","green",3,FALSE,TRUE
"P20674","brown","brown",3,FALSE,TRUE
"P20700","turquoise","red",3,FALSE,FALSE
"P20742","blue",NA,1,FALSE,FALSE
"P20774",NA,"red",2,TRUE,TRUE
"P20810",NA,"brown",2,TRUE,FALSE
"P20929",NA,"brown",2,FALSE,FALSE
"P20930",NA,"brown",2,FALSE,TRUE
"P20962","turquoise","blue",3,FALSE,FALSE
"P21266",NA,"green",2,FALSE,TRUE
"P21281","turquoise",NA,1,FALSE,FALSE
"P21291",NA,"green",2,FALSE,FALSE
"P21333","blue","green",3,TRUE,TRUE
"P21397",NA,"turquoise",2,FALSE,FALSE
"P21399","turquoise","turquoise",3,FALSE,FALSE
"P21695",NA,"blue",2,FALSE,FALSE
"P21796","blue","brown",3,FALSE,FALSE
"P21810",NA,"red",2,FALSE,FALSE
"P21912","brown","yellow",3,TRUE,FALSE
"P21953",NA,"green",2,FALSE,FALSE
"P21980","turquoise","turquoise",3,FALSE,FALSE
"P22033","turquoise","turquoise",3,FALSE,FALSE
"P22061","blue","blue",3,FALSE,TRUE
"P22087","red",NA,1,FALSE,FALSE
"P22105",NA,"blue",2,FALSE,FALSE
